,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2023-04-20,NSE:TECILCHEM,20.9,21.9,20.9,21.9,7350.0,,
1,2023-04-21,NSE:TECILCHEM,22.950001,22.950001,22.950001,22.950001,450.0,4.79452511415526,
2,2023-04-24,NSE:TECILCHEM,24.049999,24.049999,24.049999,24.049999,200.0,4.793019398996973,4.79452511415526
3,2023-04-25,NSE:TECILCHEM,25.25,25.25,25.25,25.25,50.0,4.989609355077314,4.793019398996973
4,2023-04-26,NSE:TECILCHEM,26.5,26.5,26.5,26.5,1005.0,4.9504950495049505,4.989609355077314
5,2023-04-27,NSE:TECILCHEM,27.799999,27.799999,27.799999,27.799999,1350.0,4.905656603773584,4.9504950495049505
6,2023-04-28,NSE:TECILCHEM,29.15,29.15,29.15,29.15,500.0,4.856118879716503,4.905656603773584
7,2023-05-02,NSE:TECILCHEM,30.6,30.6,30.6,30.6,950.0,4.974271012006871,4.856118879716503
8,2023-05-03,NSE:TECILCHEM,32.099998,32.099998,32.099998,32.099998,500.0,4.901954248366006,4.974271012006871
9,2023-05-04,NSE:TECILCHEM,33.700001,33.700001,33.700001,33.700001,1380.0,4.984433332363451,4.901954248366006
10,2023-05-05,NSE:TECILCHEM,35.349998,35.349998,35.349998,35.349998,1220.0,4.89613338587141,4.984433332363451
11,2023-05-08,NSE:TECILCHEM,37.099998,37.099998,36.400002,37.099998,59451.0,4.950495329589552,4.89613338587141
12,2023-05-09,NSE:TECILCHEM,38.950001,38.950001,35.25,35.299999,28518.0,-4.851749587695394,4.950495329589552
13,2023-05-10,NSE:TECILCHEM,35.75,35.75,33.549999,33.549999,2249.0,-4.957507222592273,-4.851749587695394
14,2023-05-11,NSE:TECILCHEM,31.9,31.9,31.9,31.9,1242.0,-4.9180299528473945,-4.957507222592273
15,2023-05-12,NSE:TECILCHEM,30.299999,30.299999,30.299999,30.299999,603.0,-5.015677115987457,-4.9180299528473945
16,2023-05-15,NSE:TECILCHEM,28.799999,28.799999,28.799999,28.799999,969.0,-4.950495212887631,-5.015677115987457
17,2023-05-16,NSE:TECILCHEM,27.4,30.200001,27.4,30.200001,64885.0,4.861118224344385,-4.950495212887631
18,2023-05-17,NSE:TECILCHEM,28.700001,28.700001,28.700001,28.700001,3912.0,-4.966887252752078,4.861118224344385
19,2023-05-18,NSE:TECILCHEM,27.299999,27.299999,27.299999,27.299999,719.0,-4.8780555791618285,-4.966887252752078
20,2023-05-19,NSE:TECILCHEM,25.950001,28.6,25.950001,25.950001,20632.0,-4.9450478001848985,-4.8780555791618285
21,2023-05-22,NSE:TECILCHEM,24.65,27.200001,24.65,27.200001,30309.0,4.8169554983832175,-4.9450478001848985
22,2023-05-23,NSE:TECILCHEM,28.450001,28.450001,25.85,27.0,1995.0,-0.7352977670846421,4.8169554983832175
23,2023-05-24,NSE:TECILCHEM,26.0,27.0,25.65,26.700001,3435.0,-1.1111074074074063,-0.7352977670846421
24,2023-05-25,NSE:TECILCHEM,26.700001,26.700001,25.4,26.35,1347.0,-1.31086511944325,-1.1111074074074063
25,2023-05-26,NSE:TECILCHEM,26.35,27.5,25.049999,25.049999,8581.0,-4.93359013282733,-1.31086511944325
26,2023-05-29,NSE:TECILCHEM,25.950001,25.950001,23.799999,23.950001,6032.0,-4.391209756136115,-4.93359013282733
27,2023-05-30,NSE:TECILCHEM,23.799999,25.1,22.799999,24.85,3291.0,3.757824477752636,-4.391209756136115
28,2023-05-31,NSE:TECILCHEM,25.35,26.049999,24.799999,26.0,6171.0,4.62776659959758,3.757824477752636
29,2023-06-01,NSE:TECILCHEM,26.0,27.299999,26.0,26.700001,5805.0,2.6923115384615395,4.62776659959758
30,2023-06-02,NSE:TECILCHEM,28.0,28.0,25.4,25.4,4739.0,-4.868917420639804,2.6923115384615395
31,2023-06-05,NSE:TECILCHEM,24.15,25.75,24.15,24.299999,1689.0,-4.330712598425192,-4.868917420639804
32,2023-06-06,NSE:TECILCHEM,24.299999,25.299999,23.1,25.299999,10144.0,4.115226506799445,-4.330712598425192
33,2023-06-07,NSE:TECILCHEM,24.049999,24.049999,24.049999,24.049999,934.0,-4.940711657735639,4.115226506799445
34,2023-06-08,NSE:TECILCHEM,24.049999,25.200001,24.0,24.299999,3856.0,1.0395010827235378,-4.940711657735639
35,2023-06-09,NSE:TECILCHEM,24.799999,24.950001,23.1,24.700001,748.0,1.646098833172794,1.0395010827235378
36,2023-06-12,NSE:TECILCHEM,25.85,25.85,23.5,23.5,1655.0,-4.85830344703225,1.646098833172794
37,2023-06-13,NSE:TECILCHEM,23.450001,24.450001,22.5,24.450001,195.0,4.0425574468085115,-4.85830344703225
38,2023-06-14,NSE:TECILCHEM,24.450001,24.9,23.25,23.25,4749.0,-4.907979349366899,4.0425574468085115
39,2023-06-15,NSE:TECILCHEM,23.0,24.049999,23.0,23.0,6011.0,-1.0752688172043012,-4.907979349366899
40,2023-06-16,NSE:TECILCHEM,23.0,23.0,21.85,23.0,1400.0,0.0,-1.0752688172043012
41,2023-06-19,NSE:TECILCHEM,24.1,24.1,21.85,22.799999,1984.0,-0.8695695652173927,0.0
42,2023-06-20,NSE:TECILCHEM,21.9,22.9,21.700001,21.700001,6952.0,-4.82455284318214,-0.8695695652173927
43,2023-06-21,NSE:TECILCHEM,22.700001,22.700001,20.700001,21.6,2418.0,-0.46083408014588984,-4.82455284318214
44,2023-06-22,NSE:TECILCHEM,22.65,22.65,20.549999,21.25,4311.0,-1.620370370370377,-0.46083408014588984
45,2023-06-23,NSE:TECILCHEM,21.85,21.85,20.299999,21.65,1608.0,1.882352941176464,-1.620370370370377
46,2023-06-26,NSE:TECILCHEM,22.200001,22.65,20.6,21.25,15309.0,-1.8475750577367143,1.882352941176464
47,2023-06-27,NSE:TECILCHEM,22.299999,22.299999,20.200001,20.200001,8441.0,-4.941171764705881,-1.8475750577367143
48,2023-06-28,NSE:TECILCHEM,19.200001,21.0,19.200001,19.200001,4042.0,-4.95049480443095,-4.941171764705881
49,2023-06-30,NSE:TECILCHEM,19.6,20.15,19.200001,20.15,3247.0,4.9479112006296155,-4.95049480443095
50,2023-07-03,NSE:TECILCHEM,20.549999,21.1,19.15,19.15,6578.0,-4.962779156327544,4.9479112006296155
51,2023-07-04,NSE:TECILCHEM,19.549999,20.1,18.549999,20.049999,2495.0,4.699733681462146,-4.962779156327544
52,2023-07-05,NSE:TECILCHEM,20.049999,20.549999,19.049999,19.049999,4659.0,-4.98753142082451,4.699733681462146
53,2023-07-06,NSE:TECILCHEM,19.049999,19.049999,18.299999,19.0,1303.0,-0.26246195603474665,-4.98753142082451
54,2023-07-07,NSE:TECILCHEM,19.4,19.450001,18.15,18.15,1791.0,-4.473684210526323,-0.26246195603474665
55,2023-07-10,NSE:TECILCHEM,19.049999,19.049999,17.450001,19.0,3422.0,4.68319559228651,-4.473684210526323
56,2023-07-11,NSE:TECILCHEM,19.5,19.950001,18.1,18.549999,1988.0,-2.3684263157894754,4.68319559228651
57,2023-07-12,NSE:TECILCHEM,18.549999,19.450001,18.0,19.450001,2542.0,4.851763064785074,-2.3684263157894754
58,2023-07-13,NSE:TECILCHEM,19.5,20.4,18.6,19.049999,1710.0,-2.0565654469632193,4.851763064785074
59,2023-07-14,NSE:TECILCHEM,18.549999,20.0,18.5,19.200001,1773.0,0.7874121148247863,-2.0565654469632193
60,2023-07-17,NSE:TECILCHEM,19.200001,20.15,18.700001,19.0,1620.0,-1.041671820746261,0.7874121148247863
61,2023-07-18,NSE:TECILCHEM,19.0,19.700001,19.0,19.0,1170.0,0.0,-1.041671820746261
62,2023-07-19,NSE:TECILCHEM,19.950001,19.950001,18.700001,19.049999,3569.0,0.2631526315789457,0.0
63,2023-07-20,NSE:TECILCHEM,19.1,20.0,19.1,19.9,2869.0,4.461947740784653,0.2631526315789457
64,2023-07-21,NSE:TECILCHEM,20.85,20.85,20.049999,20.049999,2398.0,0.7537638190954831,4.461947740784653
65,2023-07-24,NSE:TECILCHEM,19.25,19.75,19.25,19.25,951.0,-3.9900201491281853,0.7537638190954831
66,2023-07-25,NSE:TECILCHEM,19.25,20.1,19.15,19.9,600.0,3.3766233766233693,-3.9900201491281853
67,2023-07-26,NSE:TECILCHEM,20.299999,20.799999,19.15,19.5,2697.0,-2.0100502512562746,3.3766233766233693
68,2023-07-27,NSE:TECILCHEM,20.0,20.0,19.5,19.5,696.0,0.0,-2.0100502512562746
69,2023-07-31,NSE:TECILCHEM,20.0,20.450001,19.0,19.549999,132.0,0.2564051282051266,0.0
70,2023-08-01,NSE:TECILCHEM,19.549999,20.0,19.549999,20.0,912.0,2.30179551415834,0.2564051282051266
71,2023-08-02,NSE:TECILCHEM,20.4,21.0,19.25,20.299999,887.0,1.4999949999999984,2.30179551415834
72,2023-08-03,NSE:TECILCHEM,20.299999,20.299999,19.299999,19.9,788.0,-1.9704385207112627,1.4999949999999984
73,2023-08-04,NSE:TECILCHEM,20.85,20.85,19.1,19.5,1069.0,-2.0100502512562746,-1.9704385207112627
74,2023-08-07,NSE:TECILCHEM,20.25,20.25,18.549999,19.200001,3742.0,-1.5384564102564084,-2.0100502512562746
75,2023-08-08,NSE:TECILCHEM,19.200001,19.950001,18.6,18.6,691.0,-3.1250050455726477,-1.5384564102564084
76,2023-08-09,NSE:TECILCHEM,18.6,19.5,18.6,19.5,509.0,4.838709677419347,-3.1250050455726477
77,2023-08-10,NSE:TECILCHEM,19.049999,20.299999,18.799999,18.85,484.0,-3.3333333333333264,4.838709677419347
78,2023-08-11,NSE:TECILCHEM,18.85,18.950001,17.9,18.549999,4497.0,-1.5915172413793195,-3.3333333333333264
79,2023-08-14,NSE:TECILCHEM,18.950001,19.0,17.799999,17.85,1053.0,-3.7735797182522663,-1.5915172413793195
80,2023-08-16,NSE:TECILCHEM,18.299999,18.299999,17.0,18.15,393.0,1.680672268907547,-3.7735797182522663
81,2023-08-17,NSE:TECILCHEM,17.5,18.1,17.25,18.1,5301.0,-0.2754820936638962,1.680672268907547
82,2023-08-18,NSE:TECILCHEM,17.200001,17.950001,17.200001,17.700001,344.0,-2.2099392265193427,-0.2754820936638962
83,2023-08-21,NSE:TECILCHEM,17.700001,17.950001,16.950001,17.450001,846.0,-1.412429298732808,-2.2099392265193427
84,2023-08-22,NSE:TECILCHEM,17.799999,18.299999,17.0,18.299999,2582.0,4.871048431458539,-1.412429298732808
85,2023-08-23,NSE:TECILCHEM,18.299999,18.6,17.4,18.5,1346.0,1.0929016990656684,4.871048431458539
86,2023-08-24,NSE:TECILCHEM,18.5,18.5,17.6,18.200001,1121.0,-1.6216162162162144,1.0929016990656684
87,2023-08-25,NSE:TECILCHEM,18.200001,18.200001,17.35,18.200001,218.0,0.0,-1.6216162162162144
88,2023-08-28,NSE:TECILCHEM,19.1,19.1,17.35,18.0,1462.0,-1.0989065330271153,0.0
89,2023-08-29,NSE:TECILCHEM,18.0,18.0,17.25,18.0,364.0,0.0,-1.0989065330271153
90,2023-08-30,NSE:TECILCHEM,18.4,18.4,17.4,17.950001,1734.0,-0.2777722222222204,0.0
91,2023-08-31,NSE:TECILCHEM,17.950001,17.950001,17.049999,17.1,678.0,-4.735381351789333,-0.2777722222222204
92,2023-09-01,NSE:TECILCHEM,17.1,17.9,16.299999,17.5,1378.0,2.339181286549699,-4.735381351789333
93,2023-09-04,NSE:TECILCHEM,18.35,18.35,18.35,18.35,1691.0,4.857142857142866,2.339181286549699
94,2023-09-05,NSE:TECILCHEM,18.799999,19.0,17.5,18.049999,1023.0,-1.6348828337874752,4.857142857142866
95,2023-09-06,NSE:TECILCHEM,18.049999,18.049999,17.5,17.950001,434.0,-0.5540055708590309,-1.6348828337874752
96,2023-09-07,NSE:TECILCHEM,17.950001,18.799999,17.1,18.799999,3647.0,4.7353646386983455,-0.5540055708590309
97,2023-09-08,NSE:TECILCHEM,17.9,19.700001,17.9,18.75,6096.0,-0.2659521418059633,4.7353646386983455
98,2023-09-11,NSE:TECILCHEM,19.6,19.65,17.85,18.9,5192.0,0.7999999999999924,-0.2659521418059633
99,2023-09-12,NSE:TECILCHEM,18.9,18.950001,18.0,18.0,1397.0,-4.761904761904755,0.7999999999999924
100,2023-09-13,NSE:TECILCHEM,18.0,18.700001,17.1,17.75,2041.0,-1.3888888888888888,-4.761904761904755
101,2023-09-14,NSE:TECILCHEM,17.9,18.1,17.9,18.1,1523.0,1.971830985915501,-1.3888888888888888
102,2023-09-15,NSE:TECILCHEM,18.0,18.1,17.950001,17.950001,336.0,-0.8287237569060835,1.971830985915501
103,2023-09-18,NSE:TECILCHEM,18.0,18.0,18.0,18.0,150.0,0.2785459454849038,-0.8287237569060835
104,2023-09-21,NSE:TECILCHEM,18.0,18.0,18.0,18.0,14.0,0.0,0.2785459454849038
105,2023-09-22,NSE:TECILCHEM,18.200001,18.200001,18.200001,18.200001,309.0,1.1111166666666683,0.0
106,2023-09-25,NSE:TECILCHEM,18.0,18.0,18.0,18.0,223.0,-1.0989065330271153,1.1111166666666683
107,2023-09-26,NSE:TECILCHEM,18.0,18.35,17.700001,17.75,1365.0,-1.3888888888888888,-1.0989065330271153
108,2023-09-27,NSE:TECILCHEM,18.1,18.1,18.1,18.1,400.0,1.971830985915501,-1.3888888888888888
109,2023-09-28,NSE:TECILCHEM,18.450001,18.450001,18.450001,18.450001,10.0,1.9337071823204357,1.971830985915501
110,2023-09-29,NSE:TECILCHEM,18.799999,18.799999,18.75,18.75,68.0,1.6260107519777351,1.9337071823204357
111,2023-10-03,NSE:TECILCHEM,18.450001,18.75,18.450001,18.450001,136.0,-1.599994666666665,1.6260107519777351
112,2023-10-04,NSE:TECILCHEM,18.4,18.4,18.1,18.1,149.0,-1.8970242874241519,-1.599994666666665
113,2023-10-05,NSE:TECILCHEM,18.1,18.1,17.799999,18.1,2765.0,0.0,-1.8970242874241519
114,2023-10-06,NSE:TECILCHEM,18.450001,18.450001,17.75,17.75,500.0,-1.933701657458571,0.0
115,2023-10-09,NSE:TECILCHEM,17.75,17.75,17.4,17.4,211.0,-1.971830985915501,-1.933701657458571
116,2023-10-10,NSE:TECILCHEM,17.4,17.4,17.4,17.4,139.0,0.0,-1.971830985915501
117,2023-10-13,NSE:TECILCHEM,17.4,17.4,17.4,17.4,60.0,0.0,0.0
118,2023-10-16,NSE:TECILCHEM,17.049999,17.049999,17.049999,17.049999,2800.0,-2.0114999999999936,0.0
119,2023-10-17,NSE:TECILCHEM,17.049999,17.049999,17.049999,17.049999,304.0,0.0,-2.0114999999999936
120,2023-10-18,NSE:TECILCHEM,17.049999,17.049999,16.700001,17.049999,514.0,0.0,0.0
121,2023-10-20,NSE:TECILCHEM,17.35,17.35,17.35,17.35,1084.0,1.7595367600901426,0.0
122,2023-10-23,NSE:TECILCHEM,17.5,18.200001,17.5,18.200001,366.0,4.899141210374633,1.7595367600901426
123,2023-10-25,NSE:TECILCHEM,19.0,19.1,18.35,18.950001,3101.0,4.120878894457204,4.899141210374633
124,2023-10-26,NSE:TECILCHEM,18.950001,18.950001,18.15,18.15,259.0,-4.2216409381719915,4.120878894457204
125,2023-10-27,NSE:TECILCHEM,18.15,19.049999,18.15,19.0,1114.0,4.68319559228651,-4.2216409381719915
126,2023-10-30,NSE:TECILCHEM,18.5,19.0,18.049999,18.049999,484.0,-5.000005263157896,4.68319559228651
127,2023-10-31,NSE:TECILCHEM,18.1,18.1,18.049999,18.049999,484.0,0.0,-5.000005263157896
128,2023-11-01,NSE:TECILCHEM,18.950001,18.950001,18.9,18.950001,2257.0,4.986160941061551,0.0
129,2023-11-02,NSE:TECILCHEM,19.85,19.85,19.799999,19.85,5637.0,4.749334841723761,4.986160941061551
130,2023-11-03,NSE:TECILCHEM,20.799999,20.799999,19.6,20.75,1821.0,4.534005037783368,4.749334841723761
131,2023-11-06,NSE:TECILCHEM,20.799999,21.75,20.75,21.75,4904.0,4.819277108433735,4.534005037783368
132,2023-11-07,NSE:TECILCHEM,21.75,21.75,20.700001,20.700001,1132.0,-4.8275816091954,4.819277108433735
133,2023-11-08,NSE:TECILCHEM,20.700001,20.700001,20.700001,20.700001,44.0,0.0,-4.8275816091954
134,2023-11-09,NSE:TECILCHEM,20.700001,21.0,20.700001,21.0,286.0,1.4492704613878988,0.0
135,2023-11-10,NSE:TECILCHEM,21.0,21.0,21.0,21.0,9.0,0.0,1.4492704613878988
136,2023-11-15,NSE:TECILCHEM,21.0,21.0,21.0,21.0,51.0,0.0,0.0
137,2023-11-16,NSE:TECILCHEM,21.4,21.4,20.6,20.6,4150.0,-1.904761904761898,0.0
138,2023-11-17,NSE:TECILCHEM,21.0,21.0,21.0,21.0,1335.0,1.941747572815527,-1.904761904761898
139,2023-11-20,NSE:TECILCHEM,20.700001,20.700001,20.700001,20.700001,500.0,-1.4285666666666652,1.941747572815527
