,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2021-09-30,NSE:QUADPRO,9.8999995,10.0,9.425,9.925,4524000.0,,
1,2021-10-01,NSE:QUADPRO,9.875,9.9750005,9.45,9.4750005,1680000.0,-4.534000000000005,
2,2021-10-04,NSE:QUADPRO,9.8500005,9.8500005,9.5,9.6000005,240000.0,1.3192611441023143,-4.534000000000005
3,2021-10-05,NSE:QUADPRO,9.1499995,9.6499995,9.125,9.125,1236000.0,-4.9479216172957505,1.3192611441023143
4,2021-10-06,NSE:QUADPRO,8.675,8.75,8.675,8.675,180000.0,-4.931506849315061,-4.9479216172957505
5,2021-10-07,NSE:QUADPRO,8.375,9.1000005,8.375,9.1000005,228000.0,4.899141210374633,-4.931506849315061
6,2021-10-08,NSE:QUADPRO,9.5249995,9.55,9.0,9.55,708000.0,4.945049178843457,4.899141210374633
7,2021-10-11,NSE:QUADPRO,9.75,9.9750005,9.2250005,9.2250005,144000.0,-3.403136125654456,4.945049178843457
8,2021-10-12,NSE:QUADPRO,9.0249995,9.55,9.0249995,9.2749995,96000.0,0.5419945505693976,-3.403136125654456
9,2021-10-13,NSE:QUADPRO,9.125,9.425,8.925,9.0,360000.0,-2.964954337733386,0.5419945505693976
10,2021-10-14,NSE:QUADPRO,8.75,9.2250005,8.75,9.2,120000.0,2.2222222222222143,-2.964954337733386
11,2021-10-18,NSE:QUADPRO,9.2,9.375,9.1000005,9.1000005,132000.0,-1.0869510869565124,2.2222222222222143
12,2021-10-19,NSE:QUADPRO,9.1000005,9.3999995,8.75,8.7749995,120000.0,-3.571439364206632,-1.0869510869565124
13,2021-10-20,NSE:QUADPRO,8.5,8.575,8.425,8.45,192000.0,-3.703698216734948,-3.571439364206632
14,2021-10-21,NSE:QUADPRO,8.25,8.5,8.075,8.075,156000.0,-4.437869822485208,-3.703698216734948
15,2021-10-22,NSE:QUADPRO,8.0,8.125,7.6,8.0,276000.0,-0.928792569659434,-4.437869822485208
16,2021-10-25,NSE:QUADPRO,8.075,8.5,8.075,8.1000005,204000.0,1.250006250000002,-0.928792569659434
17,2021-10-26,NSE:QUADPRO,8.0,8.075,7.825,7.9,228000.0,-2.4691418228924773,1.250006250000002
18,2021-10-27,NSE:QUADPRO,7.95,8.0,7.95,7.95,60000.0,0.632911392405061,-2.4691418228924773
19,2021-10-28,NSE:QUADPRO,7.9,8.0,7.75,7.975,168000.0,0.3144654088050247,0.632911392405061
20,2021-10-29,NSE:QUADPRO,7.75,7.925,7.75,7.925,24000.0,-0.6269592476489007,0.3144654088050247
21,2021-11-01,NSE:QUADPRO,7.725,7.875,7.725,7.875,36000.0,-0.6309148264984206,-0.6269592476489007
22,2021-11-02,NSE:QUADPRO,7.725,7.85,7.725,7.85,36000.0,-0.317460317460322,-0.6309148264984206
23,2021-11-03,NSE:QUADPRO,7.7,7.7,7.5,7.5,60000.0,-4.458598726114645,-0.317460317460322
24,2021-11-04,NSE:QUADPRO,7.9,7.9,7.9,7.9,12000.0,5.3333333333333375,-4.458598726114645
25,2021-11-08,NSE:QUADPRO,7.6,7.85,7.6,7.65,60000.0,-3.164556962025316,5.3333333333333375
26,2021-11-09,NSE:QUADPRO,7.5,7.525,7.45,7.45,204000.0,-2.6143790849673225,-3.164556962025316
27,2021-11-10,NSE:QUADPRO,7.55,7.875,7.45,7.85,228000.0,5.369127516778517,-2.6143790849673225
28,2021-11-11,NSE:QUADPRO,7.95,7.95,7.575,7.75,204000.0,-1.2738853503184668,5.369127516778517
29,2021-11-12,NSE:QUADPRO,7.575,7.575,7.275,7.35,300000.0,-5.16129032258065,-1.2738853503184668
30,2021-11-15,NSE:QUADPRO,7.55,7.575,7.2,7.275,252000.0,-1.0204081632652966,-5.16129032258065
31,2021-11-16,NSE:QUADPRO,7.05,7.175,7.05,7.15,156000.0,-1.7182130584192439,-1.0204081632652966
32,2021-11-17,NSE:QUADPRO,7.35,7.625,7.35,7.375,192000.0,3.1468531468531418,-1.7182130584192439
33,2021-11-18,NSE:QUADPRO,7.4,7.575,7.4,7.55,108000.0,2.372881355932201,3.1468531468531418
34,2021-11-22,NSE:QUADPRO,7.5,7.525,7.375,7.375,60000.0,-2.3178807947019844,2.372881355932201
35,2021-11-23,NSE:QUADPRO,7.425,7.425,7.25,7.25,36000.0,-1.694915254237288,-2.3178807947019844
36,2021-11-24,NSE:QUADPRO,7.25,7.25,7.1,7.15,156000.0,-1.3793103448275814,-1.694915254237288
37,2021-11-25,NSE:QUADPRO,6.925,7.0,6.925,7.0,84000.0,-2.097902097902103,-1.3793103448275814
38,2021-11-26,NSE:QUADPRO,6.975,6.975,6.925,6.925,48000.0,-1.071428571428574,-2.097902097902103
39,2021-11-29,NSE:QUADPRO,6.9,6.9,6.5,6.5,72000.0,-6.137184115523463,-1.071428571428574
40,2021-11-30,NSE:QUADPRO,6.45,6.45,5.625,5.825,456000.0,-10.384615384615383,-6.137184115523463
41,2021-12-01,NSE:QUADPRO,6.25,6.975,6.25,6.8,252000.0,16.738197424892697,-10.384615384615383
42,2021-12-02,NSE:QUADPRO,7.25,7.9,7.25,7.875,264000.0,15.808823529411766,16.738197424892697
43,2021-12-03,NSE:QUADPRO,8.125,8.125,7.825,7.825,204000.0,-0.6349206349206327,15.808823529411766
44,2021-12-06,NSE:QUADPRO,7.9,7.9,6.8,6.95,180000.0,-11.182108626198083,-0.6349206349206327
45,2021-12-07,NSE:QUADPRO,6.9,7.3,6.9,7.3,24000.0,5.035971223021578,-11.182108626198083
46,2021-12-08,NSE:QUADPRO,7.25,7.65,7.25,7.425,216000.0,1.7123287671232876,5.035971223021578
47,2021-12-09,NSE:QUADPRO,7.4,7.4,7.4,7.4,12000.0,-0.3367003367003295,1.7123287671232876
48,2021-12-10,NSE:QUADPRO,7.425,7.65,7.425,7.65,24000.0,3.378378378378378,-0.3367003367003295
49,2021-12-13,NSE:QUADPRO,7.65,8.1499995,7.65,7.95,108000.0,3.9215686274509776,3.378378378378378
50,2021-12-14,NSE:QUADPRO,7.9,8.2,7.9,7.925,48000.0,-0.3144654088050359,3.9215686274509776
51,2021-12-15,NSE:QUADPRO,7.875,7.875,7.525,7.525,24000.0,-5.047318611987375,-0.3144654088050359
52,2021-12-16,NSE:QUADPRO,7.525,7.525,7.3,7.35,72000.0,-2.3255813953488467,-5.047318611987375
53,2021-12-17,NSE:QUADPRO,7.25,7.25,6.9,7.05,48000.0,-4.081632653061222,-2.3255813953488467
54,2021-12-20,NSE:QUADPRO,7.0,7.0,6.9,6.9,36000.0,-2.127659574468078,-4.081632653061222
55,2021-12-21,NSE:QUADPRO,7.15,7.15,7.05,7.125,144000.0,3.260869565217386,-2.127659574468078
56,2021-12-22,NSE:QUADPRO,7.125,7.125,7.0,7.05,48000.0,-1.052631578947371,3.260869565217386
57,2021-12-23,NSE:QUADPRO,7.525,7.525,7.075,7.075,120000.0,0.35460992907801925,-1.052631578947371
58,2021-12-24,NSE:QUADPRO,7.0,7.325,6.775,7.025,180000.0,-0.7067137809187254,0.35460992907801925
59,2021-12-27,NSE:QUADPRO,7.525,7.575,7.525,7.575,48000.0,7.829181494661919,-0.7067137809187254
60,2021-12-28,NSE:QUADPRO,7.5,7.5,7.125,7.125,84000.0,-5.940594059405943,7.829181494661919
61,2021-12-29,NSE:QUADPRO,7.6,7.6,7.25,7.25,48000.0,1.7543859649122806,-5.940594059405943
62,2021-12-30,NSE:QUADPRO,7.025,7.5,7.025,7.5,60000.0,3.4482758620689653,1.7543859649122806
63,2021-12-31,NSE:QUADPRO,7.075,7.075,7.075,7.075,12000.0,-5.666666666666664,3.4482758620689653
64,2022-01-03,NSE:QUADPRO,7.25,7.25,7.075,7.25,36000.0,2.4734982332155453,-5.666666666666664
65,2022-01-04,NSE:QUADPRO,7.3,7.3,6.625,7.2,168000.0,-0.6896551724137907,2.4734982332155453
66,2022-01-05,NSE:QUADPRO,7.2,7.2,6.775,6.85,180000.0,-4.861111111111118,-0.6896551724137907
67,2022-01-06,NSE:QUADPRO,6.75,6.9,6.5,6.75,360000.0,-1.459854014598535,-4.861111111111118
68,2022-01-07,NSE:QUADPRO,6.75,6.75,6.5,6.5,336000.0,-3.7037037037037033,-1.459854014598535
69,2022-01-10,NSE:QUADPRO,6.625,6.65,6.475,6.625,168000.0,1.9230769230769231,-3.7037037037037033
70,2022-01-11,NSE:QUADPRO,6.575,7.225,6.5,6.525,576000.0,-1.5094339622641455,1.9230769230769231
71,2022-01-12,NSE:QUADPRO,6.6,6.875,6.45,6.475,804000.0,-0.7662835249042255,-1.5094339622641455
72,2022-01-13,NSE:QUADPRO,6.65,6.65,6.475,6.5,180000.0,0.3861003861003916,-0.7662835249042255
73,2022-01-14,NSE:QUADPRO,6.5,6.575,6.45,6.475,192000.0,-0.3846153846153901,0.3861003861003916
74,2022-01-17,NSE:QUADPRO,6.45,6.6,6.45,6.5,456000.0,0.3861003861003916,-0.3846153846153901
75,2022-01-18,NSE:QUADPRO,6.7,6.7,6.5,6.5,156000.0,0.0,0.3861003861003916
76,2022-01-19,NSE:QUADPRO,6.7,6.7,6.325,6.425,168000.0,-1.1538461538461564,0.0
77,2022-01-20,NSE:QUADPRO,6.425,6.575,6.425,6.575,48000.0,2.334630350194558,-1.1538461538461564
78,2022-01-21,NSE:QUADPRO,6.625,6.625,6.45,6.45,60000.0,-1.9011406844106464,2.334630350194558
79,2022-01-24,NSE:QUADPRO,6.4,6.4,6.25,6.25,72000.0,-3.1007751937984525,-1.9011406844106464
80,2022-01-25,NSE:QUADPRO,5.0,6.475,5.0,6.475,96000.0,3.5999999999999943,-3.1007751937984525
81,2022-01-27,NSE:QUADPRO,6.175,6.45,6.175,6.45,24000.0,-0.3861003861003779,3.5999999999999943
82,2022-01-28,NSE:QUADPRO,6.675,6.675,6.4,6.4,72000.0,-0.7751937984496096,-0.3861003861003779
83,2022-01-31,NSE:QUADPRO,6.45,6.45,6.45,6.45,36000.0,0.7812499999999972,-0.7751937984496096
